name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a249	23	v302	v104	94	-86	-0.365489,50.832731,0 -0.365166,50.832717,0
a250	167	v302	v303	0	-180	-0.365489,50.832731,0 -0.365488,50.834229,0
a251	76	v006	v052	-96	84	-0.377789,50.827435,0 -0.378868,50.82736,0
a252	34	v304	v305	83	-97	-0.365411,50.834667,0 -0.364936,50.834705,0
a253	150	v304	v306	-102	171	-0.365411,50.834667,0 -0.365663,50.834634,0 -0.36563,50.834485,0 -0.3649,50.834563,0 -0.364958,50.834796,0 -0.365322,50.834768,0 -0.365346,50.834868,0
a254	72	v243	v243	-156	157	-0.374389,50.820982,0 -0.374442,50.820906,0 -0.374586,50.820835,0 -0.374431,50.820763,0 -0.374254,50.820781,0 -0.374389,50.820982,0
a255	71	v307	v308	173	-6	-0.39364,50.834376,0 -0.393614,50.834246,0 -0.393288,50.834251,0 -0.393239,50.833953,0
a256	48	v309	v310	-3	177	-0.387678,50.824671,0 -0.387718,50.825102,0
a257	40	v309	v311	-94	86	-0.387678,50.824671,0 -0.388242,50.824646,0
a258	172	v309	v004	87	172	-0.387678,50.824671,0 -0.386962,50.824692,0 -0.386859,50.824759,0 -0.387081,50.825746,0
a259	41	v312	v313	-8	-167	-0.367369,50.834761,0 -0.36743,50.835034,0 -0.367399,50.835121,0
a260	8	v312	v314	172	-8	-0.367369,50.834761,0 -0.367354,50.834693,0
a261	17	v312	v315	86	-95	-0.367369,50.834761,0 -0.367157,50.83477,0 -0.367123,50.834772,0
a262	9	v316	v317	171	-9	-0.375497,50.826717,0 -0.375479,50.826641,0
a263	268	v318	v229	-4	169	-0.394889,50.833904,0 -0.394945,50.834467,0 -0.394949,50.835085,0 -0.395054,50.835551,0 -0.395284,50.836296,0
a264	59	v319	v320	41	-102	-0.369426,50.822664,0 -0.369396,50.822686,0 -0.369192,50.822835,0 -0.368943,50.822972,0 -0.3688,50.822992,0
a265	37	v319	v106	-150	24	-0.369426,50.822664,0 -0.36958,50.822498,0 -0.369674,50.822366,0
a266	34	v319	v147	-172	8	-0.369426,50.822664,0 -0.369494,50.822361,0
a267	170	v319	v321	-4	176	-0.369426,50.822664,0 -0.369604,50.824185,0
a268	83	v315	v315	178	86	-0.367123,50.834772,0 -0.367117,50.834639,0 -0.36674,50.834652,0 -0.366746,50.834789,0 -0.367123,50.834772,0
a269	17	v314	v322	-93	87	-0.367354,50.834693,0 -0.367598,50.834684,0
a270	32	v314	v323	172	-8	-0.367354,50.834693,0 -0.367289,50.834404,0
a271	9	v324	v325	172	-8	-0.372929,50.826536,0 -0.372911,50.826456,0
a272	27	v283	v326	50	-134	-0.375938,50.829224,0 -0.375778,50.829308,0 -0.375653,50.829383,0
a273	27	v283	v327	137	-43	-0.375938,50.829224,0 -0.375678,50.829045,0
a274	99	v074	v328	-95	85	-0.379837,50.825901,0 -0.381245,50.82583,0
a275	125	v074	v329	80	-100	-0.379837,50.825901,0 -0.378077,50.826088,0
a276	82	v074	v330	176	-4	-0.379837,50.825901,0 -0.37975,50.825164,0
a277	57	v331	v322	81	177	-0.367916,50.834321,0 -0.367688,50.834343,0 -0.367617,50.834371,0 -0.367577,50.834435,0 -0.367598,50.834684,0
a278	94	v332	v333	-8	172	-0.379425,50.821202,0 -0.379612,50.822037,0
a279	245	v332	v334	-91	89	-0.379425,50.821202,0 -0.382913,50.821148,0
a280	53	v332	v335	169	-11	-0.379425,50.821202,0 -0.379275,50.820732,0
a281	144	v332	v336	83	-97	-0.379425,50.821202,0 -0.37739,50.821349,0
a282	30	v337	v338	-95	85	-0.395261,50.822261,0 -0.39568,50.82224,0
a283	140	v337	v339	-177	-10	-0.395261,50.822261,0 -0.395304,50.821683,0 -0.394892,50.821388,0 -0.394812,50.821105,0
a284	204	v340	v337	-96	89	-0.392441,50.822016,0 -0.392912,50.821985,0 -0.393331,50.821971,0 -0.393478,50.821981,0 -0.393896,50.822057,0 -0.394307,50.82216,0 -0.394656,50.822245,0 -0.394966,50.822265,0 -0.395261,50.822261,0
a285	116	v341	v342	-3	177	-0.388617,50.82463,0 -0.388693,50.825668,0
a286	26	v341	v311	86	-94	-0.388617,50.82463,0 -0.388242,50.824646,0
a287	168	v341	v343	-94	173	-0.388617,50.82463,0 -0.389968,50.824575,0 -0.390073,50.824578,0 -0.390169,50.824602,0 -0.390242,50.824636,0 -0.390292,50.824675,0 -0.390336,50.824728,0 -0.390405,50.825086,0
a288	62	v344	v345	90	-90	-0.388886,50.833857,0 -0.38801,50.833857,0
a289	71	v344	v045	-93	87	-0.388886,50.833857,0 -0.389899,50.833826,0
a290	157	v346	v344	167	2	-0.389375,50.835218,0 -0.389126,50.834513,0 -0.388869,50.834117,0 -0.388886,50.833857,0
a291	336	v347	v313	-108	-80	-0.366472,50.836992,0 -0.366682,50.836948,0 -0.366887,50.836931,0 -0.367098,50.836916,0 -0.367468,50.836941,0 -0.367852,50.83695,0 -0.368067,50.83678,0 -0.368064,50.83665,0 -0.368027,50.836497,0 -0.368004,50.836171,0 -0.367958,50.835935,0 -0.367964,50.83566,0 -0.367953,50.835484,0 -0.367872,50.835173,0 -0.367399,50.835121,0
a292	20	v348	v349	180	15	-0.380773,50.832794,0 -0.380773,50.832714,0 -0.380814,50.832618,0
a293	27	v348	v350	-23	153	-0.380773,50.832794,0 -0.380847,50.832906,0 -0.380934,50.833015,0
a294	13	v348	v351	68	-114	-0.380773,50.832794,0 -0.380681,50.832818,0 -0.380598,50.832841,0
a295	292	v352	v353	88	-18	-0.385238,50.829612,0 -0.384469,50.829629,0 -0.383527,50.829645,0 -0.382592,50.829644,0 -0.381894,50.829651,0 -0.38172,50.829619,0 -0.381453,50.829531,0 -0.38135,50.829331,0
a296	92	v352	v354	179	-1	-0.385238,50.829612,0 -0.385204,50.828783,0
a297	389	v352	v355	-92	57	-0.385238,50.829612,0 -0.386263,50.829587,0 -0.387623,50.829565,0 -0.38879,50.829543,0 -0.389521,50.829526,0 -0.390356,50.829482,0 -0.390707,50.82934,0
a298	105	v352	v356	-1	179	-0.385238,50.829612,0 -0.38526,50.830559,0
a299	7	v351	v357	-16	164	-0.380598,50.832841,0 -0.380625,50.832899,0
a300	12	v351	v358	79	-102	-0.380598,50.832841,0 -0.380574,50.832844,0 -0.380425,50.832864,0
a301	48	v351	v359	180	56	-0.380598,50.832841,0 -0.380598,50.83277,0 -0.380682,50.832699,0 -0.380748,50.832496,0 -0.380834,50.83246,0
a302	103	v360	v300	-92	87	-0.375353,50.833328,0 -0.375557,50.833324,0 -0.376281,50.833337,0 -0.376602,50.833334,0 -0.376817,50.833328,0
a303	331	v361	v300	46	172	-0.376422,50.830412,0 -0.376306,50.830483,0 -0.376269,50.830529,0 -0.37625,50.830573,0 -0.376295,50.830814,0 -0.376743,50.832994,0 -0.376817,50.833328,0
a304	21	v300	v362	-8	172	-0.376817,50.833328,0 -0.37686,50.833519,0
a305	83	v363	v364	-100	80	-0.372062,50.832912,0 -0.373222,50.832783,0
a306	32	v363	v365	-8	172	-0.372062,50.832912,0 -0.372128,50.833194,0
a307	24	v363	v366	170	-10	-0.372062,50.832912,0 -0.372004,50.8327,0
a308	85	v367	v076	89	-91	-0.389267,50.818328,0 -0.388052,50.818347,0
a309	80	v367	v368	-91	89	-0.389267,50.818328,0 -0.390412,50.81832,0
a310	179	v367	v369	172	-9	-0.389267,50.818328,0 -0.388978,50.817048,0 -0.388901,50.816738,0
a311	55	v370	v371	-40	138	-0.375327,50.828388,0 -0.375615,50.828604,0 -0.37584,50.828762,0
a312	327	v372	v169	-103	71	-0.355002,50.83624,0 -0.35659,50.836014,0 -0.357803,50.83578,0 -0.359464,50.835417,0
a313	135	v373	v374	-147	-24	-0.389247,50.837628,0 -0.38973,50.837159,0 -0.389858,50.83691,0 -0.389868,50.836687,0 -0.389761,50.836535,0
a314	52	v375	v376	171	-9	-0.377513,50.824094,0 -0.37739,50.823629,0
a315	25	v375	v377	115	-65	-0.377513,50.824094,0 -0.377193,50.823998,0
a316	164	v375	v378	-65	84	-0.377513,50.824094,0 -0.378098,50.82427,0 -0.378825,50.824374,0 -0.379765,50.824315,0
a317	42	v379	v380	134	-162	-0.362388,50.81116,0 -0.362354,50.811139,0 -0.362341,50.81111,0 -0.362352,50.811082,0 -0.362389,50.811061,0 -0.362436,50.811044,0 -0.3625,50.811027,0 -0.362582,50.811022,0 -0.36264,50.811032,0 -0.362671,50.811052,0 -0.36268,50.811087,0 -0.362668,50.81111,0
a318	75	v381	v380	86	-85	-0.363686,50.811237,0 -0.363294,50.811255,0 -0.36327,50.811256,0 -0.363208,50.811229,0 -0.363144,50.811203,0 -0.363086,50.811186,0 -0.363024,50.811166,0 -0.36296,50.811148,0 -0.362899,50.811133,0 -0.362834,50.811122,0 -0.36277,50.811116,0 -0.362668,50.81111,0
a319	11	v382	v383	174	-6	-0.389701,50.825207,0 -0.389683,50.825106,0
a320	62	v384	v385	174	-6	-0.36907,50.820133,0 -0.368973,50.819576,0
a321	143	v384	v386	69	-90	-0.36907,50.820133,0 -0.36809,50.820375,0 -0.36761,50.820418,0 -0.367117,50.820418,0
a322	268	v384	v067	-94	86	-0.36907,50.820133,0 -0.372874,50.819953,0
a323	76	v384	v387	-7	173	-0.36907,50.820133,0 -0.369208,50.82081,0
a324	12	v383	v388	180	0	-0.389683,50.825106,0 -0.389682,50.825002,0
a325	51	v383	v343	-93	87	-0.389683,50.825106,0 -0.390405,50.825086,0
a326	46	v389	v390	145	10	-0.375978,50.81828,0 -0.375934,50.81824,0 -0.375907,50.818172,0 -0.375894,50.8181,0 -0.375889,50.818007,0 -0.375899,50.817942,0 -0.375916,50.817883,0
a327	71	v389	v391	71	-74	-0.375978,50.81828,0 -0.375798,50.818319,0 -0.375689,50.818327,0 -0.375278,50.818333,0 -0.375138,50.818324,0 -0.374986,50.818296,0
a328	41	v389	v392	-61	73	-0.375978,50.81828,0 -0.376033,50.818299,0 -0.376121,50.818308,0 -0.37623,50.818312,0 -0.376367,50.818306,0 -0.376474,50.818297,0 -0.376554,50.818282,0
a329	96	v393	v394	-98	82	-0.371942,50.824652,0 -0.373298,50.824535,0
a330	64	v395	v326	14	130	-0.375084,50.828985,0 -0.375055,50.829061,0 -0.375653,50.829383,0
a331	23	v395	v396	-127	53	-0.375084,50.828985,0 -0.375344,50.828859,0
a332	70	v395	v397	110	-97	-0.375084,50.828985,0 -0.37492,50.828948,0 -0.374102,50.829011,0
a333	61	v181	v398	177	-3	-0.379413,50.817308,0 -0.379368,50.816758,0
a334	55	v181	v399	-6	174	-0.379413,50.817308,0 -0.379495,50.8178,0
a335	16	v400	v401	162	-18	-0.369079,50.826798,0 -0.369007,50.82666,0
a336	23	v400	v402	60	-120	-0.369079,50.826798,0 -0.368792,50.826903,0
a337	52	v400	v403	-105	81	-0.369079,50.826798,0 -0.369406,50.826741,0 -0.369802,50.826702,0
a338	70	v144	v404	79	-101	-0.371319,50.816968,0 -0.370346,50.817089,0
a339	90	v144	v405	168	-12	-0.371319,50.816968,0 -0.371062,50.816173,0
a340	77	v404	v118	168	-12	-0.370346,50.817089,0 -0.370124,50.816411,0
a341	91	v404	v119	-13	167	-0.370346,50.817089,0 -0.370636,50.817884,0
a342	126	v406	v407	-100	80	-0.371914,50.834948,0 -0.373678,50.834758,0
a343	493	v406	v408	-3	88	-0.371914,50.834948,0 -0.37196,50.835429,0 -0.371933,50.836429,0 -0.371915,50.836791,0 -0.372004,50.836944,0 -0.372434,50.836992,0 -0.373942,50.836866,0 -0.375023,50.836782,0 -0.375824,50.836765,0
a344	108	v406	v409	171	-9	-0.371914,50.834948,0 -0.371676,50.833984,0
a345	84	v410	v256	-169	23	-0.366971,50.831528,0 -0.36704,50.831298,0 -0.36736,50.830819,0
a346	9	v256	v411	-167	13	-0.36736,50.830819,0 -0.367389,50.830741,0
a347	64	v408	v211	2	-174	-0.375824,50.836765,0 -0.375799,50.837281,0 -0.37579,50.837336,0
a348	247	v408	v412	176	0	-0.375824,50.836765,0 -0.375741,50.836067,0 -0.375669,50.835771,0 -0.375513,50.835314,0 -0.375213,50.834821,0 -0.375182,50.834748,0 -0.375166,50.834672,0 -0.375167,50.834597,0
a349	28	v213	v211	-174	6	-0.375751,50.837589,0 -0.37579,50.837336,0
a350	34	v213	v413	-10	170	-0.375751,50.837589,0 -0.375833,50.837893,0
a351	137	v275	v414	-29	174	-0.374204,50.82932,0 -0.374648,50.829836,0 -0.374863,50.830107,0 -0.374921,50.830446,0
a352	35	v275	v397	168	-12	-0.374204,50.82932,0 -0.374102,50.829011,0
a353	192	v415	v416	75	-94	-0.393988,50.827645,0 -0.393313,50.827763,0 -0.393314,50.82697,0 -0.392534,50.827006,0
a354	29	v415	v417	-112	68	-0.393988,50.827645,0 -0.394369,50.827546,0
a355	41	v415	v418	-14	138	-0.393988,50.827645,0 -0.394031,50.827752,0 -0.394299,50.827943,0
a356	306	v419	v010	89	-91	-0.38558,50.824786,0 -0.383893,50.8248,0 -0.381225,50.824844,0
a357	103	v419	v420	176	-4	-0.38558,50.824786,0 -0.385485,50.823858,0
a358	118	v419	v002	-6	174	-0.38558,50.824786,0 -0.385769,50.825837,0
a359	54	v421	v231	-108	70	-0.390941,50.837731,0 -0.39105,50.837709,0 -0.391348,50.837636,0 -0.391658,50.837564,0
a360	45	v418	v422	-73	107	-0.394299,50.827943,0 -0.394911,50.828059,0
a361	26	v418	v423	13	-167	-0.394299,50.827943,0 -0.394218,50.828168,0
a362	49	v422	v424	-97	83	-0.394911,50.828059,0 -0.395611,50.828008,0
a363	40	v425	v422	170	4	-0.394969,50.828412,0 -0.3949,50.82816,0 -0.394911,50.828059,0
a364	77	v424	v159	-1	83	-0.395611,50.828008,0 -0.395622,50.82844,0 -0.396029,50.828407,0
a365	20	v424	v426	-103	77	-0.395611,50.828008,0 -0.395883,50.827968,0
a366	48	v424	v427	169	59	-0.395611,50.828008,0 -0.395516,50.827686,0 -0.395662,50.82763,0
a367	88	v428	v391	-161	112	-0.373786,50.818335,0 -0.373804,50.818302,0 -0.373857,50.818285,0 -0.373918,50.818279,0 -0.374787,50.818261,0 -0.374885,50.81827,0 -0.374986,50.818296,0
a368	7	v428	v429	172	-8	-0.373786,50.818335,0 -0.373773,50.818274,0
a369	90	v428	v430	87	-90	-0.373786,50.818335,0 -0.372844,50.818368,0 -0.372647,50.818368,0 -0.37251,50.818368,0
a370	65	v431	v432	84	-96	-0.390611,50.826689,0 -0.389693,50.826745,0
a371	118	v431	v264	177	-3	-0.390611,50.826689,0 -0.390522,50.825626,0
a372	63	v431	v433	-3	177	-0.390611,50.826689,0 -0.390656,50.827258,0
a373	33	v434	v433	177	-3	-0.39068,50.827555,0 -0.390656,50.827258,0
a374	17	v435	v436	93	-87	-0.380961,50.834035,0 -0.380725,50.834027,0
a375	82	v435	v437	179	37	-0.380961,50.834035,0 -0.38095,50.833467,0 -0.380898,50.833382,0 -0.380976,50.833316,0
a376	208	v435	v438	3	-169	-0.380961,50.834035,0 -0.380908,50.834584,0 -0.380848,50.834934,0 -0.380688,50.835755,0 -0.380644,50.835893,0
a377	16	v084	v069	-109	94	-0.371702,50.8157,0 -0.371738,50.815692,0 -0.371922,50.815701,0
a378	78	v439	v440	-99	77	-0.394852,50.830146,0 -0.395433,50.830088,0 -0.39594,50.830016,0
a379	91	v439	v441	83	-97	-0.394852,50.830146,0 -0.393572,50.83025,0
a380	137	v439	v442	175	-5	-0.394852,50.830146,0 -0.394698,50.828914,0
a381	78	v443	v444	81	-99	-0.389971,50.815682,0 -0.388871,50.815786,0
a382	31	v327	v396	131	-49	-0.375678,50.829045,0 -0.375344,50.828859,0
a383	42	v327	v371	-139	-42	-0.375678,50.829045,0 -0.375958,50.828845,0 -0.37584,50.828762,0
a384	162	v023	v445	-101	63	-0.367663,50.812295,0 -0.369617,50.812051,0 -0.369856,50.812019,0 -0.369914,50.812,0
a385	124	v303	v446	-97	82	-0.365488,50.834229,0 -0.366179,50.834178,0 -0.367244,50.834087,0
a386	23	v303	v447	88	-92	-0.365488,50.834229,0 -0.365155,50.834238,0
a387	30	v448	v449	139	-21	-0.376256,50.828432,0 -0.376191,50.828384,0 -0.376073,50.828191,0
a388	47	v448	v371	39	-141	-0.376256,50.828432,0 -0.37584,50.828762,0
a389	157	v448	v450	-40	171	-0.376256,50.828432,0 -0.376382,50.828526,0 -0.376681,50.828651,0 -0.377063,50.828681,0 -0.377238,50.82875,0 -0.377397,50.828938,0 -0.377512,50.829404,0
a390	27	v349	v451	-130	88	-0.380814,50.832618,0 -0.380911,50.832566,0 -0.381024,50.832541,0 -0.381155,50.832538,0
a391	18	v349	v359	-175	5	-0.380814,50.832618,0 -0.380834,50.83246,0
a392	18	v452	v453	3	-177	-0.385165,50.813231,0 -0.385152,50.813393,0
a393	77	v452	v454	-180	-3	-0.385165,50.813231,0 -0.385166,50.813016,0 -0.385139,50.812767,0 -0.385122,50.812536,0
a394	92	v452	v279	89	-54	-0.385165,50.813231,0 -0.384801,50.813237,0 -0.38457,50.813239,0 -0.384401,50.813241,0 -0.384266,50.813241,0 -0.384184,50.813236,0 -0.384098,50.813224,0 -0.384004,50.813188,0 -0.383897,50.813139,0
a395	161	v453	v455	-87	93	-0.385152,50.813393,0 -0.387436,50.813479,0
a396	77	v453	v278	5	-175	-0.385152,50.813393,0 -0.385113,50.813682,0 -0.385052,50.814084,0
a397	60	v456	v457	166	-13	-0.378777,50.819061,0 -0.378607,50.818632,0 -0.378572,50.818538,0
a398	14	v456	v458	-16	164	-0.378777,50.819061,0 -0.378832,50.819181,0
a399	78	v456	v459	69	-111	-0.378777,50.819061,0 -0.377736,50.819313,0
a400	21	v460	v461	-43	137	-0.381847,50.833003,0 -0.382052,50.833143,0
a401	73	v460	v451	145	-77	-0.381847,50.833003,0 -0.38145,50.832645,0 -0.381287,50.832557,0 -0.381155,50.832538,0
a402	30	v460	v462	-1	-160	-0.381847,50.833003,0 -0.381849,50.833137,0 -0.381847,50.833203,0 -0.381811,50.833267,0
a403	18	v449	v463	82	-98	-0.376073,50.828191,0 -0.375817,50.828214,0
a404	218	v449	v464	159	-97	-0.376073,50.828191,0 -0.376056,50.828163,0 -0.375946,50.827501,0 -0.375802,50.827306,0 -0.375531,50.827249,0 -0.374161,50.827359,0
a405	70	v133	v239	-161	18	-0.361499,50.826391,0 -0.361746,50.825926,0 -0.361812,50.825797,0
a406	64	v133	v465	112	-82	-0.361499,50.826391,0 -0.361241,50.826326,0 -0.360928,50.826277,0 -0.360621,50.82625,0
a407	100	v466	v198	137	-43	-0.364402,50.825054,0 -0.363428,50.824401,0
a408	377	v466	v467	-143	86	-0.364402,50.825054,0 -0.365737,50.823945,0 -0.368887,50.823801,0
a409	104	v466	v200	-46	134	-0.364402,50.825054,0 -0.365464,50.82571,0
a410	45	v468	v469	-103	77	-0.388826,50.8355,0 -0.389452,50.835408,0
a411	93	v432	v470	85	24	-0.389693,50.826745,0 -0.389221,50.826772,0 -0.389221,50.826587,0 -0.389452,50.826262,0
a412	23	v432	v471	-3	177	-0.389693,50.826745,0 -0.38971,50.826951,0
a413	50	v022	v472	-11	169	-0.367784,50.81269,0 -0.36792,50.813135,0
a414	26	v022	v473	-100	80	-0.367784,50.81269,0 -0.368142,50.81265,0
a415	155	v234	v474	83	-126	-0.396139,50.837047,0 -0.395614,50.837086,0 -0.39527,50.837114,0 -0.395038,50.837134,0 -0.394898,50.837143,0 -0.394766,50.837155,0 -0.394649,50.837179,0 -0.39452,50.83721,0 -0.394373,50.837258,0 -0.394217,50.837317,0 -0.394048,50.837394,0
a416	72	v470	v475	130	-4	-0.389452,50.826262,0 -0.38932,50.826192,0 -0.389264,50.825655,0
a417	34	v470	v476	-99	81	-0.389452,50.826262,0 -0.389933,50.826213,0
a418	7	v282	v477	-18	-153	-0.376646,50.829524,0 -0.376661,50.829553,0 -0.376639,50.82958,0
a419	63	v282	v450	-117	82	-0.376646,50.829524,0 -0.376734,50.829496,0 -0.376955,50.829453,0 -0.377512,50.829404,0
a420	8	v478	v479	-107	73	-0.355069,50.819988,0 -0.355178,50.819967,0
a421	7	v478	v480	74	-106	-0.355069,50.819988,0 -0.354971,50.820006,0
a422	37	v478	v175	-18	162	-0.355069,50.819988,0 -0.355231,50.820301,0
a423	135	v481	v482	-99	81	-0.393414,50.812896,0 -0.395307,50.812711,0
a424	192	v481	v259	82	-98	-0.393414,50.812896,0 -0.390704,50.813128,0
a425	141	v481	v483	-7	173	-0.393414,50.812896,0 -0.39367,50.81415,0
a426	77	v481	v484	172	-8	-0.393414,50.812896,0 -0.393269,50.812214,0
a427	165	v190	v444	-9	171	-0.3885,50.81432,0 -0.388691,50.815076,0 -0.388871,50.815786,0
a428	106	v444	v485	-9	171	-0.388871,50.815786,0 -0.389103,50.816727,0
a429	303	v486	v077	88	-92	-0.392004,50.81888,0 -0.387696,50.818954,0
a430	66	v486	v487	173	-8	-0.392004,50.81888,0 -0.391934,50.818494,0 -0.391928,50.818468,0 -0.391888,50.818293,0
a431	10	v486	v488	-9	171	-0.392004,50.81888,0 -0.392026,50.818972,0
a432	24	v489	v490	-97	83	-0.395216,50.811675,0 -0.39555,50.81165,0
a433	21	v489	v491	83	-97	-0.395216,50.811675,0 -0.394916,50.811697,0
a434	116	v489	v482	-6	178	-0.395216,50.811675,0 -0.395238,50.811806,0 -0.395296,50.812077,0 -0.395313,50.8123,0 -0.395296,50.812511,0 -0.395307,50.812711,0
a435	184	v492	v493	-97	172	-0.391874,50.811208,0 -0.393019,50.811121,0 -0.39323,50.812034,0
a436	49	v494	v495	-87	93	-0.386881,50.81186,0 -0.387582,50.811884,0
a437	21	v496	v497	-2	178	-0.382962,50.821905,0 -0.382974,50.822096,0
a438	84	v496	v334	178	-2	-0.382962,50.821905,0 -0.382913,50.821148,0
a439	152	v496	v498	89	-91	-0.382962,50.821905,0 -0.380798,50.821932,0
a440	29	v047	v499	-46	177	-0.373946,50.828769,0 -0.374064,50.828841,0 -0.374096,50.828954,0 -0.374099,50.828995,0
a441	2	v499	v397	-7	173	-0.374099,50.828995,0 -0.374102,50.829011,0
a442	123	v499	v500	87	-93	-0.374099,50.828995,0 -0.372348,50.829055,0
a443	223	v263	v501	1	143	-0.391581,50.825541,0 -0.391564,50.826013,0 -0.39158,50.82649,0 -0.391721,50.826822,0 -0.39193,50.827119,0 -0.392298,50.827425,0
a444	90	v263	v502	-92	110	-0.391581,50.825541,0 -0.391881,50.825536,0 -0.392808,50.825752,0
a445	42	v503	v504	74	-106	-0.369502,50.824215,0 -0.368926,50.824317,0
a446	283	v503	v403	-3	168	-0.369502,50.824215,0 -0.369714,50.826632,0 -0.369776,50.826623,0 -0.369802,50.826702,0
a447	8	v503	v321	-115	65	-0.369502,50.824215,0 -0.369604,50.824185,0
a448	133	v505	v506	21	-93	-0.395486,50.825254,0 -0.395074,50.825948,0 -0.394954,50.82598,0 -0.39437,50.826002,0
a449	124	v505	v507	116	-76	-0.395486,50.825254,0 -0.394748,50.825026,0 -0.394133,50.824748,0 -0.393948,50.824719,0
a450	48	v505	v508	-64	108	-0.395486,50.825254,0 -0.39569,50.825316,0 -0.396126,50.825405,0
a451	13	v509	v109	-158	-1	-0.376231,50.819151,0 -0.376252,50.819118,0 -0.37625,50.819033,0
a452	104	v509	v510	-91	146	-0.376231,50.819151,0 -0.376358,50.81915,0 -0.377224,50.819132,0 -0.377501,50.819389,0
a453	58	v509	v295	89	179	-0.376231,50.819151,0 -0.37575,50.819158,0 -0.375755,50.819372,0
a454	32	v511	v333	88	-92	-0.380072,50.822029,0 -0.379612,50.822037,0
a455	28	v506	v512	76	-104	-0.39437,50.826002,0 -0.393984,50.826061,0
a456	70	v506	v513	-169	-69	-0.39437,50.826002,0 -0.394422,50.825828,0 -0.394534,50.825601,0 -0.394216,50.825525,0
a457	55	v514	v515	-93	93	-0.373689,50.811414,0 -0.374052,50.8114,0 -0.37447,50.811416,0
a458	76	v514	v516	-8	172	-0.373689,50.811414,0 -0.373831,50.812092,0
a459	24	v514	v517	82	-95	-0.373689,50.811414,0 -0.373576,50.811424,0 -0.373353,50.811436,0
a460	121	v518	v061	114	-79	-0.360122,50.82362,0 -0.3595,50.823441,0 -0.358484,50.823318,0
a461	143	v518	v519	-171	-10	-0.360122,50.82362,0 -0.360143,50.823535,0 -0.359814,50.822355,0
a462	17	v518	v520	-48	132	-0.360122,50.82362,0 -0.360296,50.82372,0
a463	14	v126	v521	-97	83	-0.374225,50.813737,0 -0.374418,50.813721,0
a464	40	v126	v522	83	-97	-0.374225,50.813737,0 -0.373661,50.813781,0
a465	156	v523	v524	119	-81	-0.39402,50.831882,0 -0.393902,50.83184,0 -0.393569,50.831725,0 -0.393032,50.831747,0 -0.392603,50.831747,0 -0.392148,50.831715,0 -0.391877,50.831687,0
a466	148	v524	v043	-179	11	-0.391877,50.831687,0 -0.391905,50.83096,0 -0.391936,50.830694,0 -0.39204,50.830361,0
a467	242	v524	v525	2	-178	-0.391877,50.831687,0 -0.391825,50.832463,0 -0.391762,50.833861,0
a468	260	v497	v526	-91	88	-0.382974,50.822096,0 -0.386339,50.822048,0 -0.386678,50.822042,0
a469	100	v497	v527	-2	177	-0.382974,50.822096,0 -0.382994,50.822407,0 -0.383038,50.822994,0
a470	38	v528	v529	80	-100	-0.394132,50.827206,0 -0.393596,50.827267,0
a471	93	v530	v528	-8	166	-0.393574,50.826657,0 -0.39365,50.826982,0 -0.394036,50.826955,0 -0.394132,50.827206,0
a472	41	v528	v417	-24	156	-0.394132,50.827206,0 -0.394369,50.827546,0
a473	50	v531	v532	-103	77	-0.369722,50.812425,0 -0.37041,50.812322,0
a474	88	v226	v220	59	-73	-0.371493,50.830844,0 -0.371332,50.830905,0 -0.371252,50.830929,0 -0.371182,50.830945,0 -0.371109,50.830961,0 -0.371028,50.830969,0 -0.370969,50.830972,0 -0.370914,50.830967,0 -0.370311,50.83085,0
a475	87	v226	v533	-9	171	-0.371493,50.830844,0 -0.371691,50.831612,0
a476	88	v226	v534	-120	82	-0.371493,50.830844,0 -0.371977,50.830669,0 -0.372668,50.830605,0
a477	99	v535	v526	175	-5	-0.3868,50.822933,0 -0.386678,50.822042,0
a478	102	v535	v536	-3	179	-0.3868,50.822933,0 -0.38684,50.823421,0 -0.386854,50.823849,0
a479	264	v535	v527	88	-91	-0.3868,50.822933,0 -0.385121,50.822963,0 -0.383038,50.822994,0
a480	10	v537	v538	168	-12	-0.370938,50.813699,0 -0.370908,50.81361,0
a481	38	v537	v539	-15	165	-0.370938,50.813699,0 -0.37096,50.813752,0 -0.371076,50.814027,0
a482	75	v537	v223	34	-101	-0.370938,50.813699,0 -0.370868,50.813764,0 -0.369937,50.81388,0
a483	38	v540	v541	-28	152	-0.361092,50.827542,0 -0.361341,50.827844,0
a484	150	v465	v540	0	154	-0.360621,50.82625,0 -0.360627,50.826785,0 -0.360714,50.827053,0 -0.360918,50.82732,0 -0.361092,50.827542,0
a485	76	v540	v134	-116	64	-0.361092,50.827542,0 -0.362074,50.827246,0
a486	101	v527	v011	-3	177	-0.383038,50.822994,0 -0.383106,50.823897,0
a487	190	v542	v472	76	-104	-0.370534,50.812712,0 -0.36792,50.813135,0
a488	44	v542	v532	169	-11	-0.370534,50.812712,0 -0.37041,50.812322,0
a489	67	v542	v543	-15	165	-0.370534,50.812712,0 -0.370778,50.813298,0
a490	166	v544	v545	-180	-89	-0.385134,50.812414,0 -0.385142,50.811604,0 -0.385134,50.811463,0 -0.384273,50.811458,0
a491	54	v544	v546	90	-90	-0.385134,50.812414,0 -0.38436,50.812418,0
a492	14	v544	v454	4	-176	-0.385134,50.812414,0 -0.385122,50.812536,0
