name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a62	106	v075	v077	-44	144	-0.387014,50.818328,0 -0.387151,50.818419,0 -0.387452,50.818441,0 -0.38746,50.818663,0 -0.387366,50.818663,0 -0.387696,50.818954,0
a63	21	v075	v078	106	-74	-0.387014,50.818328,0 -0.38673,50.818276,0
a64	60	v059	v049	172	-94	-0.379937,50.827745,0 -0.379864,50.827409,0 -0.379547,50.827423,0
a65	19	v079	v080	30	-150	-0.381196,50.835814,0 -0.381062,50.835958,0
a66	215	v081	v079	29	-110	-0.383827,50.835595,0 -0.383648,50.835795,0 -0.383391,50.835827,0 -0.383127,50.835824,0 -0.383001,50.835675,0 -0.38281,50.835583,0 -0.381615,50.835716,0 -0.381196,50.835814,0
a67	40	v079	v082	120	-158	-0.381196,50.835814,0 -0.380985,50.835737,0 -0.380865,50.835927,0
a68	4	v083	v084	-157	-20	-0.3717,50.815735,0 -0.371712,50.815717,0 -0.371702,50.8157,0
a69	112	v083	v085	-36	154	-0.3717,50.815735,0 -0.371735,50.815765,0 -0.371944,50.81601,0 -0.372419,50.816636,0
a70	2	v083	v086	68	-112	-0.3717,50.815735,0 -0.371672,50.815742,0
a71	56	v032	v087	-8	172	-0.377446,50.826284,0 -0.37756,50.826785,0
a72	82	v032	v088	-97	83	-0.377446,50.826284,0 -0.378598,50.826189,0
a73	2	v089	v090	-156	24	-0.371634,50.815716,0 -0.371646,50.815699,0
a74	116	v089	v091	111	-78	-0.371634,50.815716,0 -0.371534,50.815692,0 -0.371388,50.815643,0 -0.371318,50.815618,0 -0.371242,50.815588,0 -0.3709,50.815465,0 -0.370373,50.815305,0 -0.370153,50.815275,0
a75	4	v089	v086	-21	115	-0.371634,50.815716,0 -0.371645,50.815734,0 -0.371672,50.815742,0
a76	63	v092	v093	179	-26	-0.368454,50.814676,0 -0.368452,50.814596,0 -0.368411,50.814408,0 -0.368347,50.814193,0 -0.368295,50.814127,0
a77	13	v092	v094	-46	-161	-0.368454,50.814676,0 -0.368479,50.814691,0 -0.3685,50.814715,0 -0.368506,50.814758,0 -0.368493,50.814782,0
a78	14	v092	v016	113	-133	-0.368454,50.814676,0 -0.368403,50.814662,0 -0.368356,50.814661,0 -0.368309,50.814672,0 -0.368272,50.814694,0
a79	2	v090	v095	-112	68	-0.371646,50.815699,0 -0.371674,50.815692,0
a80	247	v090	v094	123	-56	-0.371646,50.815699,0 -0.371515,50.815646,0 -0.371237,50.815551,0 -0.37089,50.815425,0 -0.370396,50.815269,0 -0.369272,50.815117,0 -0.368769,50.814925,0 -0.368535,50.8148,0 -0.368493,50.814782,0
a81	2	v095	v084	-66	114	-0.371674,50.815692,0 -0.371702,50.8157,0
a82	55	v095	v096	-174	-10	-0.371674,50.815692,0 -0.37169,50.815589,0 -0.37166,50.815426,0 -0.3716,50.815204,0
a83	36	v097	v086	152	-22	-0.371904,50.816031,0 -0.371818,50.815929,0 -0.371694,50.815776,0 -0.371672,50.815742,0
a84	36	v098	v099	89	-91	-0.371556,50.822297,0 -0.371047,50.822304,0
a85	20	v098	v100	-92	88	-0.371556,50.822297,0 -0.371837,50.822292,0
a86	293	v098	v101	177	174	-0.371556,50.822297,0 -0.371498,50.821487,0 -0.371375,50.821413,0 -0.370518,50.821434,0 -0.369942,50.821533,0 -0.370082,50.822325,0
a87	204	v102	v103	140	2	-0.364219,50.832701,0 -0.363967,50.832509,0 -0.363512,50.832076,0 -0.363366,50.83168,0 -0.363366,50.831371,0 -0.363379,50.831124,0 -0.363385,50.831024,0
a88	67	v102	v104	-88	92	-0.364219,50.832701,0 -0.365166,50.832717,0
a89	153	v102	v105	1	-179	-0.364219,50.832701,0 -0.364191,50.834078,0
a90	29	v101	v106	81	-99	-0.370082,50.822325,0 -0.369674,50.822366,0
a91	2	v101	v107	-48	132	-0.370082,50.822325,0 -0.370108,50.82234,0
a92	53	v108	v109	89	179	-0.376794,50.818894,0 -0.376246,50.8189,0 -0.37625,50.819033,0
a93	38	v110	v109	88	-92	-0.376791,50.819024,0 -0.37625,50.819033,0
a94	150	v111	v112	-8	173	-0.368504,50.816842,0 -0.368676,50.81759,0 -0.368788,50.818178,0
a95	92	v111	v113	77	-123	-0.368504,50.816842,0 -0.368273,50.816875,0 -0.367897,50.816914,0 -0.367402,50.816939,0 -0.367236,50.817006,0
a96	15	v111	v114	175	-5	-0.368504,50.816842,0 -0.368484,50.816704,0
a97	164	v115	v116	-12	168	-0.369343,50.816563,0 -0.369848,50.818005,0
a98	30	v115	v117	75	-105	-0.369343,50.816563,0 -0.368929,50.816631,0
a99	57	v115	v118	-107	73	-0.369343,50.816563,0 -0.370124,50.816411,0
a100	57	v116	v119	-104	76	-0.369848,50.818005,0 -0.370636,50.817884,0
a101	41	v116	v120	76	-104	-0.369848,50.818005,0 -0.36928,50.818092,0
a102	76	v121	v122	56	-88	-0.364471,50.826352,0 -0.364287,50.826431,0 -0.364171,50.826441,0 -0.363432,50.826428,0
a103	8	v121	v123	-45	135	-0.364471,50.826352,0 -0.364551,50.826402,0
a104	181	v121	v124	140	-48	-0.364471,50.826352,0 -0.363186,50.825387,0 -0.362757,50.82514,0
a105	38	v125	v126	-7	173	-0.374156,50.813394,0 -0.374225,50.813737,0
a106	50	v125	v127	172	-7	-0.374156,50.813394,0 -0.374065,50.812965,0 -0.374061,50.812944,0
a107	61	v125	v128	81	-99	-0.374156,50.813394,0 -0.373292,50.813476,0
a108	57	v122	v129	-9	-175	-0.363432,50.826428,0 -0.363473,50.826583,0 -0.363559,50.826822,0 -0.363542,50.826936,0
a109	50	v122	v130	90	-116	-0.363432,50.826428,0 -0.363188,50.826428,0 -0.362897,50.826512,0 -0.362768,50.826551,0
a110	31	v020	v041	-96	84	-0.376697,50.82751,0 -0.377142,50.827479,0
a111	65	v020	v131	-6	174	-0.376697,50.82751,0 -0.376796,50.828087,0
a112	35	v132	v133	112	-68	-0.361958,50.826506,0 -0.361499,50.826391,0
a113	84	v132	v134	8	164	-0.361958,50.826506,0 -0.361911,50.826713,0 -0.361928,50.826952,0 -0.362023,50.827136,0 -0.362074,50.827246,0
a114	60	v132	v130	-71	65	-0.361958,50.826506,0 -0.362445,50.82661,0 -0.362598,50.826602,0 -0.362768,50.826551,0
a115	10	v015	v094	-106	37	-0.368382,50.814826,0 -0.368441,50.814815,0 -0.368468,50.814803,0 -0.368493,50.814782,0
