vertex	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	waypoins
v001	-0.386861,50.825767,0	a
v002	-0.385769,50.825837,0	a
v003	-0.386861,50.825767,0	a
v004	-0.387081,50.825746,0	a
v005	-0.377685,50.827442,0	a
v006	-0.377789,50.827435,0	a
v007	-0.37725,50.827472,0	a
v008	-0.377624,50.827126,0	a
v009	-0.381184,50.823928,0	a
v010	-0.381245,50.82583,0	a
v011	-0.383106,50.823897,0	a
v012	-0.37974,50.823909,0	a
v013	-0.367749,50.814854,0	a
v014	-0.368284,50.814801,0	a
v015	-0.368576,50.814914,0	a
v016	-0.368172,50.814127,0	a
v017	-0.376642,50.827192,0	a
v018	-0.376582,50.82684,0	a
v019	-0.377083,50.827162,0	a
v020	-0.376697,50.82751,0	a
v021	-0.367755,50.812595,0	a
v022	-0.367784,50.81269,0	a
v023	-0.367554,50.81194,0	a
v024	-0.366448,50.812896,0	a
v025	-0.376501,50.811151,0	a
v026	-0.376499,50.811552,0	a
v027	-0.368586,50.834131,0	a
v028	-0.366971,50.831528,0	a
v029	-0.367074,50.832735,0	a
v030	-0.368586,50.834131,0	a
v031	-0.377017,50.826816,0	a
v032	-0.377446,50.826284,0	a
v033	-0.364954,50.813096,0	a
v034	-0.36574,50.812939,0	a
v035	-0.366421,50.813124,0	a
v036	-0.367064,50.811905,0	a
v037	-0.355067,50.812962,0	a
v038	-0.356219,50.812871,0	a
v039	-0.354906,50.814924,0	a
v040	-0.355067,50.812962,0	a
v041	-0.37725,50.827472,0	a
v042	-0.388859,50.830449,0	a
v043	-0.39204,50.830361,0	a
v044	-0.387028,50.830511,0	a
v045	-0.391762,50.833861,0	a
v046	-0.37398,50.828719,0	a
v047	-0.373946,50.828769,0	a
v048	-0.379551,50.827313,0	a
v049	-0.379547,50.827423,0	a
v050	-0.379758,50.827003,0	a
v051	-0.379758,50.827003,0	a
v052	-0.378737,50.826738,0	a
v053	-0.374041,50.828448,0	a
v054	-0.374281,50.82818,0	a
v055	-0.379583,50.827607,0	a
v056	-0.379618,50.827785,0	a
v057	-0.379547,50.827423,0	a
