name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	waypoints
a088	801	v85	v86	30	-178	-0.3824186,50.8730364,0 -0.3820753,50.8734155,0 -0.3812599,50.8742008,0 -0.3805304,50.8749049,0 -0.3798866,50.8757173,0 -0.3791571,50.8762319,0 -0.3783417,50.8768276,0 -0.3778696,50.8775858,0 -0.3777838,50.8785065,0 -0.3777409,50.879373,0
a089	367	v77	v87	-23	166	-0.3823543,50.8647487,0 -0.3828907,50.8655613,0 -0.383234,50.8662114,0 -0.3839207,50.8678906,0
a090	1679	v88	v89	78	-57	-0.4261494,50.8748508,0 -0.4251623,50.8749862,0 -0.4240036,50.8743904,0 -0.4225874,50.8739571,0 -0.4212141,50.8734697,0 -0.4186392,50.8726843,0 -0.4170084,50.8722781,0 -0.4140902,50.8717094,0 -0.4120302,50.8715469,0 -0.4122877,50.8702198,0 -0.4123306,50.8695969,0 -0.4110003,50.8692719,0 -0.409627,50.8689469,0 -0.408597,50.8688657,0 -0.4073524,50.8683511,0
a091	1212	v90	v91	-132	99	-0.4078245,50.8621484,0 -0.4082751,50.8618911,0 -0.4087472,50.861864,0 -0.4093051,50.861417,0 -0.4099274,50.860794,0 -0.4107642,50.8607398,0 -0.4114723,50.8606721,0 -0.4122233,50.8605502,0 -0.4127598,50.8606179,0 -0.4137039,50.860645,0 -0.4148197,50.8608482,0 -0.4153347,50.8610107,0 -0.4172873,50.8617014,0 -0.4182959,50.8619859,0 -0.4188323,50.8622974,0 -0.4193473,50.8624328,0 -0.4207206,50.8626495,0 -0.4211712,50.8627443,0 -0.4217505,50.8627172,0 -0.422008,50.8625953,0 -0.4224372,50.8624599,0 -0.4230809,50.8625276,0
a092	1946	v92	v93	150	-99	-0.4063533,50.8489277,0 -0.4062796,50.8488465,0 -0.4043484,50.8482504,0 -0.403018,50.8477084,0 -0.4023743,50.8467601,0 -0.401473,50.8455136,0 -0.4007435,50.8447007,0 -0.4003143,50.8441858,0 -0.3996277,50.843698,0 -0.3988981,50.8428038,0 -0.3987265,50.843129,0 -0.3991127,50.8434813,0 -0.3994131,50.8438606,0 -0.3998852,50.8442942,0 -0.3990269,50.8447549,0 -0.3990269,50.84508,0 -0.3996277,50.8455949,0 -0.3998852,50.8460014,0 -0.3991556,50.845622,0 -0.3985119,50.8458659,0 -0.3979969,50.8451071,0 -0.3976107,50.8441045,0 -0.3975248,50.8436168,0 -0.3958082,50.8438064,0 -0.3948212,50.8440503,0 -0.3946495,50.8444026,0 -0.3945208,50.8444161,0
a093	589	v94	v95	-156	9	-0.3839207,50.8428038,0 -0.3846502,50.8417469,0 -0.3849936,50.8408797,0 -0.3855515,50.8399583,0 -0.3858948,50.8390098,0 -0.3861094,50.8382239,0 -0.3862381,50.837736,0
a094	611	v95	v96	77	-97	-0.3862381,50.837736,0 -0.3846073,50.8379799,0 -0.3820324,50.8384136,0 -0.3810024,50.8385762,0 -0.3811312,50.8376547,0 -0.3793073,50.8378038,0
a095	526	v96	v64	172	-9	-0.3793073,50.8378038,0 -0.3792214,50.8374243,0 -0.3782344,50.8360421,0 -0.3776765,50.8350393,0 -0.3772902,50.834294,0 -0.3769255,50.8338196,0 -0.3768182,50.8333724,0
a096	146	v97	v96	-104	79	-0.3772688,50.8380646,0 -0.3773332,50.8380545,0 -0.3777087,50.838007,0 -0.3780305,50.8379765,0 -0.3782988,50.8379257,0 -0.3793073,50.8378038,0
a097	235	v98	v99	-3	104	-0.3757668,50.8367332,0 -0.3758311,50.8374108,0 -0.3757238,50.8380206,0 -0.376389,50.8380477,0 -0.3770113,50.8381425,0
a098	280	v100	v99	-163	2	-0.375874,50.8405139,0 -0.3760457,50.8401616,0 -0.3763676,50.8397009,0 -0.3766036,50.8393621,0 -0.3769684,50.8389285,0 -0.3769898,50.8386033,0 -0.3770113,50.8381425,0
a099	164	v68	v101	41	-173	-0.3752518,50.8408662,0 -0.3748226,50.8411778,0 -0.3747153,50.8414624,0 -0.374372,50.8417334,0 -0.3742862,50.8421534,0
a100	446	v102	v101	-146	61	-0.3703594,50.845202,0 -0.3708529,50.8447413,0 -0.371325,50.8442265,0 -0.3720117,50.8437251,0 -0.3724623,50.8433187,0 -0.3727627,50.8432238,0 -0.3729987,50.8430477,0 -0.3733206,50.8429393,0 -0.3734708,50.8427767,0 -0.3736854,50.8425193,0 -0.373857,50.8424651,0 -0.3740931,50.8422212,0 -0.3742862,50.8421534,0
a101	387	v101	v103	24	-157	-0.3742862,50.8421534,0 -0.3739643,50.8426005,0 -0.3737068,50.8429799,0 -0.3732991,50.8432509,0 -0.3728271,50.8436438,0 -0.3724837,50.8440368,0 -0.3720975,50.8445516,0 -0.3716683,50.8451884,0
a102	93	v102	v103	-77	81	-0.3703594,50.845202,0 -0.37081,50.8452697,0 -0.3716683,50.8451884,0
a103	928	v94	v103	56	-79	-0.3839207,50.8428038,0 -0.382762,50.8432916,0 -0.3817749,50.8439148,0 -0.3808308,50.8440774,0 -0.3795862,50.8441316,0 -0.3780413,50.8444026,0 -0.3764105,50.8445381,0 -0.3749084,50.8446465,0 -0.3732347,50.8449988,0 -0.3723335,50.8452697,0 -0.3716683,50.8451884,0
a104	1158	v104	v105	174	-1	-0.3756595,50.8567847,0 -0.3756166,50.8565138,0 -0.3754878,50.8563377,0 -0.375402,50.8558501,0 -0.3753805,50.8554031,0 -0.3751874,50.8545903,0 -0.3751659,50.8542652,0 -0.3749514,50.8538182,0 -0.3748012,50.8531273,0 -0.3745651,50.8520978,0 -0.3738141,50.851434,0 -0.3731275,50.8506889,0 -0.3719902,50.849727,0 -0.3713894,50.8493071,0 -0.3712177,50.8486161,0 -0.3710461,50.8477491,0 -0.3710246,50.8471123,0
a105	524	v71	v104	-55	67	-0.3694153,50.8551728,0 -0.370295,50.8555656,0 -0.3711963,50.8558095,0 -0.3714967,50.8559855,0 -0.37184,50.8563513,0 -0.3723335,50.8567576,0 -0.3728271,50.8569473,0 -0.3731489,50.8570421,0 -0.3735995,50.8569473,0 -0.3742647,50.8568931,0 -0.374887,50.8568254,0 -0.3753591,50.856866,0 -0.3756595,50.8567847,0
a106	881	v106	v107	-152	70	-0.3761959,50.8600897,0 -0.3763676,50.8598865,0 -0.3767753,50.8597511,0 -0.3770971,50.8596427,0 -0.3776121,50.8598323,0 -0.3780198,50.8599678,0 -0.3785563,50.8598459,0 -0.3789425,50.8596427,0 -0.3790712,50.8593583,0 -0.3790927,50.8588978,0 -0.3790712,50.8582882,0 -0.3791142,50.8579632,0 -0.379436,50.8576923,0 -0.3801441,50.8575162,0 -0.3807449,50.857313,0 -0.3814745,50.8570963,0 -0.3818822,50.8569066,0 -0.382247,50.856568,0 -0.3825688,50.8562294,0 -0.3829551,50.8561887,0 -0.3835773,50.8561616,0 -0.3837705,50.856121,0 -0.3841138,50.8559449,0 -0.3844142,50.8558772,0
a107	196	v106	v108	-31	158	-0.3761959,50.8600897,0 -0.3764963,50.8604012,0 -0.3767967,50.8605908,0 -0.3773546,50.8608211,0 -0.3776336,50.8610784,0 -0.3778696,50.8614441,0
a108	116	v108	v73	62	-83	-0.3778696,50.8614441,0 -0.3774619,50.8615796,0 -0.3762817,50.8614847,0
a109	436	v108	v109	-4	58	-0.3778696,50.8614441,0 -0.3779125,50.8618098,0 -0.37817,50.8621078,0 -0.3786421,50.862487,0 -0.3793287,50.8628662,0 -0.3800368,50.8630829,0 -0.3807235,50.8632048,0 -0.3813887,50.8631506,0 -0.381968,50.8630829,0 -0.3825259,50.8628662,0
a110	44	v108	v110	-66	90	-0.3778696,50.8614441,0 -0.3781056,50.8615118,0 -0.3784704,50.8615118,0
a111	295	v110	v111	10	96	-0.3784704,50.8615118,0 -0.3783631,50.8619046,0 -0.378685,50.8622974,0 -0.3792214,50.8625953,0 -0.3798866,50.8628256,0 -0.3804231,50.8629339,0 -0.3812599,50.8629881,0
a112	76	v111	v112	-96	57	-0.3812599,50.8629881,0 -0.3816676,50.862961,0 -0.3822255,50.8627308,0
a113	26	v112	v109	-54	126	-0.3822255,50.8627308,0 -0.3825259,50.8628662,0
a114	150	v113	v112	-39	146	-0.3807664,50.8618369,0 -0.3810453,50.8620536,0 -0.3816676,50.8621755,0 -0.3818822,50.8624057,0 -0.3822255,50.8627308,0
a115	136	v113	v111	-2	152	-0.3807664,50.8618369,0 -0.3807878,50.8621484,0 -0.3808737,50.8625683,0 -0.3811097,50.862812,0 -0.3812599,50.8629881,0
a116	202	v113	v114	-88	85	-0.3807664,50.8618369,0 -0.3821397,50.861864,0 -0.3829336,50.8618911,0 -0.3836417,50.8618504,0
a117	140	v112	v114	-128	38	-0.3822255,50.8627308,0 -0.3826976,50.8625005,0 -0.3831053,50.8622838,0 -0.3836417,50.8618504,0
a118	373	v114	v115	-132	43	-0.3836417,50.8618504,0 -0.3840494,50.8616202,0 -0.3846931,50.8612545,0 -0.3851008,50.8610107,0 -0.3861094,50.8605908,0 -0.3867316,50.8603877,0 -0.3872681,50.8600761,0 -0.3877401,50.8597511,0
a119	30	v116	v117	0	180	-0.3844571,50.8580444,0 -0.3844571,50.8583153,0
a120	576	v117	v110	68	-174	-0.3844571,50.8583153,0 -0.383749,50.8584914,0 -0.3828263,50.8589249,0 -0.3818393,50.8593583,0 -0.3810024,50.8596156,0 -0.3799939,50.8600084,0 -0.3790712,50.8604689,0 -0.3785563,50.8610107,0 -0.3784704,50.8615118,0
a121	617	v116	v108	72	-156	-0.3844571,50.8580444,0 -0.3836846,50.858207,0 -0.3828692,50.8584643,0 -0.3820109,50.8588165,0 -0.3814745,50.8590603,0 -0.3811097,50.8593718,0 -0.3800154,50.8597375,0 -0.3789639,50.8602387,0 -0.3783846,50.8607263,0 -0.3778696,50.8614441,0
a122	226	v107	v118	-5	178	-0.3844142,50.8558772,0 -0.3844571,50.8561616,0 -0.3846073,50.8565274,0 -0.3845215,50.8570556,0 -0.3844786,50.8575026,0 -0.3845,50.8578954,0
a123	658	v119	v120	-158	40	-0.3831482,50.8643289,0 -0.3834271,50.8638955,0 -0.3837705,50.8634757,0 -0.383985,50.8631235,0 -0.3844786,50.8627443,0 -0.3847575,50.8623651,0 -0.3852725,50.8617692,0 -0.3855944,50.8613764,0 -0.3862166,50.8610242,0 -0.3869033,50.8606721,0 -0.387826,50.860198,0 -0.388577,50.8596427,0
a124	231	v109	v77	-11	170	-0.3825259,50.8628662,0 -0.3825903,50.8630694,0 -0.3823543,50.8633538,0 -0.3819895,50.8635028,0 -0.3820539,50.8637059,0 -0.3821182,50.8638684,0 -0.3822255,50.8640851,0 -0.3822255,50.8643018,0 -0.3823543,50.8647487,0
a125	213	v121	v107	23	-152	-0.3855515,50.8541027,0 -0.3848648,50.8551051,0 -0.3846502,50.8555927,0 -0.3844142,50.8558772,0
a126	789	v107	v122	157	-12	-0.3844142,50.8558772,0 -0.3840494,50.8553218,0 -0.3840494,50.854509,0 -0.3839207,50.8538046,0 -0.3836632,50.8528835,0 -0.3836632,50.8523958,0 -0.3835773,50.8515559,0 -0.3834486,50.8507973,0 -0.3830624,50.8497948,0 -0.382762,50.8489006,0
a127	371	v123	v124	-15	-165	-0.3858519,50.8487381,0 -0.3863668,50.8499303,0 -0.3863239,50.8507702,0 -0.3858089,50.8519894,0
a128	685	v122	v94	180	7	-0.382762,50.8489006,0 -0.382762,50.8479794,0 -0.3829336,50.8469226,0 -0.3831482,50.8459472,0 -0.3835773,50.8448633,0 -0.3836632,50.8442129,0 -0.3839207,50.8428038,0
a129	109	v66	v125	-10	170	-0.3716469,50.8340229,0 -0.3719044,50.8349851,0
a130	475	v125	v98	-100	179	-0.3719044,50.8349851,0 -0.3737926,50.8347683,0 -0.3751874,50.8346192,0 -0.3752518,50.8348225,0 -0.3757024,50.8356627,0 -0.3757453,50.836015,0 -0.3757668,50.8367332,0
a131	489	v125	v98	-11	85	-0.3719044,50.8349851,0 -0.3720331,50.8354052,0 -0.3719473,50.8358253,0 -0.3719258,50.8365571,0 -0.3719044,50.8369094,0 -0.3722692,50.8369636,0 -0.3731489,50.8369094,0 -0.3745008,50.836801,0 -0.3757668,50.8367332,0
a132	51	v61	v126	-177	3	-0.3703165,50.8308381,0 -0.3703594,50.8303773,0
a133	374	v104	v106	-15	156	-0.3756595,50.8567847,0 -0.3757882,50.8570963,0 -0.3758097,50.8574484,0 -0.375874,50.8579767,0 -0.375874,50.858505,0 -0.375874,50.8592228,0 -0.375874,50.8596292,0 -0.3761959,50.8600897,0
a134	165	v110	v113	-77	103	-0.3784704,50.8615118,0 -0.3807664,50.8618369,0
a135	57	v75	v53	128	-70	-0.3683424,50.8604689,0 -0.368042,50.8603199,0 -0.3676343,50.8602251,0
a136	578	v73	v75	99	-81	-0.3762817,50.8614847,0 -0.3759491,50.8614509,0 -0.3757238,50.861478,0 -0.3754771,50.8614915,0 -0.3751552,50.861417,0 -0.3748763,50.8613696,0 -0.3744686,50.8613628,0 -0.3740609,50.861329,0 -0.3735995,50.8612342,0 -0.3729451,50.8610784,0 -0.3722477,50.8609362,0 -0.3717756,50.8608008,0 -0.3713465,50.8607263,0 -0.3710353,50.860733,0 -0.3706813,50.8607195,0 -0.370338,50.8607669,0 -0.3699732,50.860706,0 -0.3695762,50.8605976,0 -0.3692651,50.860557,0 -0.3689003,50.860557,0 -0.3685355,50.8604892,0 -0.3683424,50.8604689,0
a137	1587	v87	v127	65	-126	-0.3839207,50.8678906,0 -0.3824615,50.868324,0 -0.3815603,50.8688115,0 -0.3804874,50.8692177,0 -0.3795433,50.8697865,0 -0.3788137,50.870274,0 -0.377655,50.8706802,0 -0.3760242,50.871276,0 -0.3747368,50.8715739,0 -0.3725052,50.8722781,0 -0.3716898,50.8726031,0 -0.370574,50.8732259,0 -0.3692865,50.873578,0 -0.3678703,50.8741196,0 -0.3667545,50.8746071,0 -0.3656816,50.8751757,0 -0.364995,50.8754872,0
a138	1589	v127	v79	166	5	-0.364995,50.8754872,0 -0.3649092,50.8752705,0 -0.3649092,50.8746883,0 -0.3649092,50.8743769,0 -0.364995,50.8738217,0 -0.3651237,50.8734967,0 -0.3655958,50.8731989,0 -0.3667331,50.8726031,0 -0.3672695,50.8721968,0 -0.3680205,50.8716146,0 -0.3682351,50.8711136,0 -0.3683639,50.8705313,0 -0.3680849,50.8701386,0 -0.3674841,50.8697729,0 -0.3666472,50.8693667,0 -0.3658533,50.8689334,0 -0.36551,50.8684188,0 -0.3653383,50.8679177,0 -0.3652096,50.867376,0 -0.3651023,50.8668614,0 -0.364995,50.8665364,0 -0.3651667,50.8660353,0 -0.3652096,50.865453,0 -0.3654027,50.86483,0 -0.3654456,50.864356,0 -0.3655529,50.8637601,0 -0.3653383,50.8634215,0 -0.3651237,50.8631235,0 -0.3651667,50.8628391,0
a139	622	v79	v47	80	-61	-0.3651667,50.8628391,0 -0.3648019,50.8628798,0 -0.3640723,50.8628256,0 -0.3635359,50.8627985,0 -0.3627849,50.8627985,0 -0.3624415,50.862812,0 -0.3619695,50.8627579,0 -0.3613472,50.8627172,0 -0.3607035,50.8625683,0 -0.3602743,50.8624328,0 -0.359695,50.8621078,0 -0.35918,50.8617692,0 -0.3586221,50.8614712,0 -0.3581715,50.8611868,0 -0.3576779,50.8610107,0 -0.3573346,50.8608888,0
a140	539	v109	v128	-127	31	-0.3825259,50.8628662,0 -0.3830624,50.8626089,0 -0.3833199,50.8624328,0 -0.3838778,50.8619994,0 -0.3844142,50.8616879,0 -0.3849506,50.8613358,0 -0.3853798,50.8611191,0 -0.3862596,50.8607398,0 -0.3869462,50.8605502,0 -0.3873968,50.8602522,0 -0.3877509,50.8600084,0 -0.3880298,50.8597917,0 -0.3881586,50.8596563,0
a141	166	v118	v129	-126	91	-0.3845,50.8578954,0 -0.3846771,50.8578142,0 -0.3850418,50.8577464,0 -0.3852779,50.8576787,0 -0.3855246,50.857611,0 -0.3856158,50.8575094,0 -0.3857446,50.8574281,0 -0.385868,50.8572893,0 -0.3859806,50.8571606,0 -0.3861094,50.857076,0 -0.3863132,50.8570793,0
a142	17	v116	v118	-170	10	-0.3844571,50.8580444,0 -0.3845,50.8578954,0
a143	192	v129	v107	146	-73	-0.3863132,50.8570793,0 -0.3861845,50.8569608,0 -0.3860825,50.8568592,0 -0.3859162,50.8567543,0 -0.3852725,50.8563106,0 -0.3850847,50.8561853,0 -0.3847092,50.8559347,0 -0.3844142,50.8558772,0
a144	342	v64	v62	172	32	-0.3768182,50.8333724,0 -0.3766894,50.8327761,0 -0.3762174,50.8306619,0 -0.3762603,50.8304993,0 -0.3764105,50.8303502,0
a145	1128	v62	v130	-124	130	-0.3764105,50.8303502,0 -0.3774405,50.8299165,0 -0.3801441,50.8316513,0 -0.3803587,50.8315699,0 -0.3804874,50.8318274,0 -0.3808522,50.8322611,0 -0.3813243,50.8324509,0 -0.381968,50.832993,0 -0.3824186,50.833264,0 -0.3835988,50.8340094,0 -0.3839636,50.8343888,0 -0.3843069,50.8348225,0 -0.3845644,50.8353239,0 -0.3848648,50.8357982,0 -0.3854442,50.8361234,0 -0.3863454,50.8365977,0 -0.3867531,50.8368145,0
a146	291	v95	v131	-40	13	-0.3862381,50.837736,0 -0.3864849,50.837919,0 -0.3866673,50.8381425,0 -0.3866243,50.8385287,0 -0.3868818,50.8385965,0 -0.3871393,50.8384542,0 -0.3875256,50.8385152,0 -0.3877616,50.8386439,0 -0.3878903,50.8387523,0 -0.3881264,50.8387117,0 -0.3883302,50.8388133,0 -0.3884697,50.8387727,0 -0.3886199,50.8385965,0 -0.3886735,50.8384542,0
a147	183	v93	v132	157	-16	-0.3945208,50.8444161,0 -0.3942955,50.8440774,0 -0.3939736,50.8434677,0 -0.3937054,50.842858,0
a148	373	v133	v134	18	-132	-0.3927827,50.8463197,0 -0.3927183,50.8464417,0 -0.3923965,50.8464823,0 -0.3923965,50.8467194,0 -0.3922141,50.8468955,0 -0.3918064,50.847092,0 -0.3914523,50.8471462,0 -0.3912163,50.8475594,0 -0.3910875,50.8478304,0 -0.3906369,50.8477084,0 -0.3899074,50.8476542,0 -0.3894353,50.8477626,0 -0.3891993,50.8478981,0
a149	218	v123	v122	83	-92	-0.3858519,50.8487381,0 -0.3842854,50.84886,0 -0.382762,50.8489006,0
a150	135	v8	v4	-87	96	-0.3521848,50.8346192,0 -0.3531075,50.8346463,0 -0.3540945,50.8347141,0
a151	52	v1	v57	-105	83	-0.3614116,50.8329659,0 -0.3617334,50.8329116,0 -0.3621411,50.8328778,0
a152	632	v57	v58	179	87	-0.3621411,50.8328778,0 -0.3621304,50.8325593,0 -0.3620017,50.8321527,0 -0.3618622,50.8314073,0 -0.3617549,50.8310753,0 -0.3624201,50.8309872,0 -0.362817,50.8309804,0 -0.3638899,50.8310278,0 -0.3648448,50.8310414,0 -0.3651023,50.8310482,0 -0.3653812,50.8308178,0 -0.3655744,50.8306619,0 -0.3658426,50.830689,0 -0.3659499,50.8307568,0 -0.3661859,50.8308652,0 -0.3664541,50.8309059,0 -0.3668189,50.8308788,0 -0.3670657,50.8308313,0 -0.3674304,50.8308178,0
a153	223	v58	v61	-165	104	-0.3674304,50.8308178,0 -0.3675163,50.8306145,0 -0.3678274,50.8306687,0 -0.3684282,50.8307636,0 -0.3688145,50.8307974,0 -0.3693509,50.8307839,0 -0.3701019,50.8308042,0 -0.3703165,50.8308381,0
a154	140	v6	v7	-173	-7	-0.3540516,50.8377631,0 -0.3540838,50.8376005,0 -0.3541589,50.8373837,0 -0.3541803,50.8371127,0 -0.3542125,50.8368755,0 -0.3542447,50.8366723,0 -0.3542125,50.8365096,0
a155	205	v7	v9	83	-126	-0.3542125,50.8365096,0 -0.3535903,50.8365571,0 -0.3523779,50.8367129,0 -0.3515947,50.836801,0 -0.3513908,50.8368959,0
a156	256	v20	v41	13	-164	-0.3432584,50.8483994,0 -0.343194,50.8485755,0 -0.3428078,50.8488465,0 -0.3425074,50.8491039,0 -0.3421211,50.8493884,0 -0.3417993,50.8495509,0 -0.3411555,50.8497541,0 -0.3407612,50.8498524,0 -0.3407264,50.8499269,0
a157	562	v135	v41	168	-8	-0.3421426,50.8549019,0 -0.3418636,50.8541027,0 -0.3416276,50.8533983,0 -0.3413916,50.8525584,0 -0.3411126,50.8516236,0 -0.3408337,50.850418,0 -0.3407264,50.8499269,0
a158	605	v18	v19	-113	96	-0.3321004,50.8432645,0 -0.3324008,50.8431832,0 -0.3339028,50.8433051,0 -0.3362846,50.8434677,0 -0.3387737,50.8436168,0 -0.3406405,50.8437387,0
a159	199	v136	v123	80	-110	-0.388577,50.8482774,0 -0.3876972,50.8483723,0 -0.3870535,50.84844,0 -0.3864956,50.848589,0 -0.3858519,50.8487381,0
a160	732	v136	v137	-83	171	-0.388577,50.8482774,0 -0.389092,50.8483181,0 -0.389092,50.8486432,0 -0.3891993,50.8496729,0 -0.3893065,50.8501064,0 -0.3894567,50.8505534,0 -0.3892207,50.8507973,0 -0.3881264,50.851136,0 -0.3874397,50.8516101,0 -0.3871822,50.8520842,0 -0.3869247,50.8528429,0 -0.3869677,50.8532357,0 -0.3871179,50.8538588,0
a161	304	v138	v121	83	-24	-0.3880405,50.8559991,0 -0.3872573,50.85606,0 -0.3864205,50.8551186,0 -0.3859699,50.8547055,0 -0.3855515,50.8541027,0
a162	53	v139	v138	133	-47	-0.3885984,50.8563242,0 -0.3880405,50.8559991,0
a163	221	v140	v141	-30	145	-0.390079,50.8572656,0 -0.3905082,50.8577329,0 -0.3909588,50.858058,0 -0.3910124,50.8584576,0 -0.3911841,50.8587962,0 -0.3914201,50.8590129,0
a164	213	v141	v120	77	-101	-0.3914201,50.8590129,0 -0.3911304,50.8590535,0 -0.3907871,50.8591822,0 -0.3902185,50.8593312,0 -0.389725,50.8594666,0 -0.3891993,50.8595682,0 -0.388577,50.8596427,0
a165	299	v120	v142	-148	-44	-0.388577,50.8596427,0 -0.3887701,50.8594463,0 -0.3887701,50.8592161,0 -0.3886843,50.8589316,0 -0.3885126,50.8586133,0 -0.3882444,50.8583018,0 -0.3879654,50.8580715,0 -0.3874612,50.8577532,0 -0.3869033,50.8573943,0
a166	30	v120	v128	99	-105	-0.388577,50.8596427,0 -0.3883624,50.8596224,0 -0.3881586,50.8596563,0
a167	401	v128	v116	-157	-124	-0.3881586,50.8596563,0 -0.3882658,50.8595005,0 -0.388341,50.8593447,0 -0.3883195,50.8591619,0 -0.3882337,50.8589384,0 -0.3880191,50.8587285,0 -0.3876865,50.8584508,0 -0.3871715,50.8582002,0 -0.3864849,50.8580106,0 -0.3858089,50.8578074,0 -0.3852081,50.8578277,0 -0.3846931,50.8579428,0 -0.3844571,50.8580444,0
a168	303	v143	v14	9	-151	-0.3433764,50.8351409,0 -0.34284,50.8373905,0 -0.3428721,50.8375395,0 -0.3426361,50.8378038,0
a169	394	v143	v11	-49	172	-0.3433764,50.8351409,0 -0.3457582,50.8364351,0 -0.3470671,50.837011,0 -0.3470886,50.8371262,0 -0.3471744,50.8372143,0 -0.3468472,50.8372448,0 -0.346874,50.8373701,0
a170	96	v11	v13	79	-101	-0.346874,50.8373701,0 -0.3455329,50.8375328,0
a171	161	v22	v23	118	-84	-0.3306198,50.8432882,0 -0.3302711,50.843173,0 -0.3298956,50.8431256,0 -0.3296059,50.8430816,0 -0.329445,50.8430104,0 -0.3292626,50.8429833,0 -0.3284311,50.8429257,0
a172	346	v22	v144	61	-73	-0.3306198,50.8432882,0 -0.3294235,50.8437014,0 -0.3292251,50.8436506,0 -0.3289622,50.8436269,0 -0.3287637,50.8436134,0 -0.3286564,50.8438572,0 -0.3286886,50.8439961,0 -0.3285438,50.8441689,0 -0.328458,50.844406,0 -0.3283077,50.8444771,0 -0.3281736,50.8446702,0 -0.3280395,50.8447786,0 -0.3277338,50.8447481,0 -0.3273368,50.844721,0 -0.3272295,50.8447007,0
a173	342	v29	v27	86	-157	-0.3268647,50.8451342,0 -0.3263551,50.8451579,0 -0.3260761,50.8451292,0 -0.3257141,50.8454594,0 -0.3255934,50.8456423,0 -0.325419,50.8456169,0 -0.3252715,50.8456152,0 -0.3250408,50.8456508,0 -0.3246653,50.8456355,0 -0.3245741,50.8457304,0 -0.3244963,50.8458743,0 -0.3243434,50.8459421,0 -0.3242925,50.8461182,0 -0.3242683,50.8461927,0 -0.3244668,50.8463096,0 -0.3248101,50.8464976,0 -0.325073,50.846589,0 -0.325014,50.8466771,0
a174	56	v29	v144	-147	27	-0.3268647,50.8451342,0 -0.326972,50.8450292,0 -0.3269935,50.8449107,0 -0.3271598,50.8447887,0 -0.3272295,50.8447007,0
a175	219	v144	v23	-144	5	-0.3272295,50.8447007,0 -0.3273207,50.8446228,0 -0.3274065,50.8445144,0 -0.3274924,50.8444534,0 -0.3275889,50.8443145,0 -0.3276747,50.8442163,0 -0.3277284,50.8440706,0 -0.3277874,50.8438234,0 -0.327943,50.8437082,0 -0.3279644,50.8435761,0 -0.3281683,50.8433559,0 -0.3283292,50.8431798,0 -0.3284204,50.8430036,0 -0.3284311,50.8429257,0
a176	429	v27	v24	127	-63	-0.325014,50.8466771,0 -0.324558,50.846462,0 -0.3240967,50.8462046,0 -0.3237748,50.845981,0 -0.3232384,50.8456152,0 -0.3224981,50.8450326,0 -0.32179,50.844511,0 -0.3216076,50.8443823,0 -0.3211999,50.8441926,0 -0.3206635,50.8440232,0
a177	136	v36	v35	180	4	-0.3434944,50.8596021,0 -0.3434944,50.8589519,0 -0.3435588,50.8583831,0
a178	490	v36	v46	-82	99	-0.3434944,50.8596021,0 -0.3451574,50.8597511,0 -0.3459084,50.8598323,0 -0.3467131,50.8599881,0 -0.3470027,50.8599407,0 -0.3478074,50.8598053,0 -0.3485692,50.8597443,0 -0.3498888,50.8597578,0 -0.3503609,50.8598053,0
a179	513	v46	v47	-68	89	-0.3503609,50.8598053,0 -0.351305,50.8600491,0 -0.3537941,50.8606992,0 -0.3546095,50.8608753,0 -0.3549957,50.8609023,0 -0.3573346,50.8608888,0
a180	71	v70	v102	-176	35	-0.3699303,50.8457575,0 -0.3699517,50.8455678,0 -0.3703594,50.845202,0
a181	191	v70	v105	-36	141	-0.3699303,50.8457575,0 -0.3701663,50.8459607,0 -0.3701019,50.8461639,0 -0.3702521,50.8463401,0 -0.3701019,50.8465704,0 -0.3704238,50.8467465,0 -0.3706598,50.8469226,0 -0.3708529,50.8469768,0 -0.3710246,50.8471123,0
a182	222	v105	v103	180	26	-0.3710246,50.8471123,0 -0.3710246,50.8468549,0 -0.371089,50.8466314,0 -0.3710675,50.8464417,0 -0.3711534,50.8461504,0 -0.3712499,50.8458184,0 -0.3714108,50.8455272,0 -0.3716683,50.8451884,0
a183	117	v121	v137	-130	108	-0.3855515,50.8541027,0 -0.3857446,50.8540011,0 -0.3860128,50.8539672,0 -0.3863883,50.8539062,0 -0.3868282,50.8538385,0 -0.3869891,50.8538317,0 -0.3871179,50.8538588,0
a184	252	v138	v137	148	-27	-0.3880405,50.8559991,0 -0.3878152,50.8557756,0 -0.3877401,50.855613,0 -0.3877079,50.8554234,0 -0.3875256,50.8551389,0 -0.3875899,50.8550035,0 -0.3875041,50.854868,0 -0.3873861,50.8545429,0 -0.3872466,50.8542788,0 -0.3872359,50.8540078,0 -0.3871179,50.8538588,0
a185	40	v145	v139	99	-81	-0.3891563,50.8563784,0 -0.3885984,50.8563242,0
a186	456	v145	v146	-117	-171	-0.3891563,50.8563784,0 -0.3894567,50.8562835,0 -0.3901541,50.856182,0 -0.3908086,50.8560736,0 -0.3914952,50.8559855,0 -0.3917634,50.8559517,0 -0.39186,50.8563377,0 -0.3919888,50.8568118,0 -0.3920531,50.8569608,0 -0.392139,50.8573062,0 -0.3922355,50.8575636,0 -0.3923321,50.8578548,0 -0.3924072,50.8581392,0 -0.3923643,50.8583052,0
